edge,presence_count,top20_count,group,n_instances,presence_frequency,overall_top20_frequency,conditional_top20_frequency
lh_cuneus -- lh_lateralorbitofrontal,16,3.0,SZ,150,0.10666666666666667,0.02,0.1875
lh_cuneus -- lh_lingual,74,9.0,SZ,150,0.49333333333333335,0.06,0.12162162162162163
lh_cuneus -- lh_medialorbitofrontal,11,4.0,SZ,150,0.07333333333333333,0.02666666666666667,0.36363636363636365
lh_cuneus -- lh_middletemporal,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_cuneus -- lh_paracentral,2,0.0,SZ,150,0.013333333333333334,0.0,0.0
lh_cuneus -- lh_parahippocampal,10,0.0,SZ,150,0.06666666666666667,0.0,0.0
lh_cuneus -- lh_parsopercularis,6,1.0,SZ,150,0.04,0.006666666666666667,0.16666666666666666
lh_cuneus -- lh_parsorbitalis,24,2.0,SZ,150,0.16,0.013333333333333334,0.08333333333333333
lh_cuneus -- lh_parstriangularis,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_cuneus -- lh_pericalcarine,15,5.0,SZ,150,0.1,0.03333333333333333,0.3333333333333333
lh_cuneus -- lh_postcentral,14,0.0,SZ,150,0.09333333333333334,0.0,0.0
lh_cuneus -- lh_precentral,7,0.0,SZ,150,0.04666666666666667,0.0,0.0
lh_cuneus -- lh_precuneus,51,4.0,SZ,150,0.34,0.02666666666666667,0.0784313725490196
lh_cuneus -- lh_rostralanteriorcingulate,5,1.0,SZ,150,0.03333333333333333,0.006666666666666667,0.2
lh_cuneus -- lh_rostralmiddlefrontal,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_cuneus -- lh_superiorparietal,5,0.0,SZ,150,0.03333333333333333,0.0,0.0
lh_cuneus -- lh_supramarginal,6,2.0,SZ,150,0.04,0.013333333333333334,0.3333333333333333
lh_cuneus -- lh_temporalpole,33,4.0,SZ,150,0.22,0.02666666666666667,0.12121212121212122
lh_cuneus -- rh_caudalmiddlefrontal,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_cuneus -- rh_cuneus,83,15.0,SZ,150,0.5533333333333333,0.1,0.18072289156626506
lh_cuneus -- rh_entorhinal,44,5.0,SZ,150,0.29333333333333333,0.03333333333333333,0.11363636363636363
lh_cuneus -- rh_frontalpole,22,7.0,SZ,150,0.14666666666666667,0.04666666666666667,0.3181818181818182
lh_cuneus -- rh_fusiform,5,0.0,SZ,150,0.03333333333333333,0.0,0.0
lh_cuneus -- rh_inferiorparietal,2,0.0,SZ,150,0.013333333333333334,0.0,0.0
lh_cuneus -- rh_inferiortemporal,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_cuneus -- rh_isthmuscingulate,3,2.0,SZ,150,0.02,0.013333333333333334,0.6666666666666666
lh_cuneus -- rh_lateraloccipital,3,0.0,SZ,150,0.02,0.0,0.0
lh_cuneus -- rh_lateralorbitofrontal,11,2.0,SZ,150,0.07333333333333333,0.013333333333333334,0.18181818181818182
lh_cuneus -- rh_lingual,63,9.0,SZ,150,0.42,0.06,0.14285714285714285
lh_cuneus -- rh_medialorbitofrontal,28,5.0,SZ,150,0.18666666666666668,0.03333333333333333,0.17857142857142858
lh_cuneus -- rh_paracentral,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_cuneus -- rh_parahippocampal,4,0.0,SZ,150,0.02666666666666667,0.0,0.0
lh_cuneus -- rh_parsopercularis,3,0.0,SZ,150,0.02,0.0,0.0
lh_cuneus -- rh_parsorbitalis,24,2.0,SZ,150,0.16,0.013333333333333334,0.08333333333333333
lh_cuneus -- rh_parstriangularis,8,0.0,SZ,150,0.05333333333333334,0.0,0.0
lh_cuneus -- rh_pericalcarine,22,4.0,SZ,150,0.14666666666666667,0.02666666666666667,0.18181818181818182
lh_cuneus -- rh_postcentral,13,2.0,SZ,150,0.08666666666666667,0.013333333333333334,0.15384615384615385
lh_cuneus -- rh_precentral,12,3.0,SZ,150,0.08,0.02,0.25
