edge,sz_selection_frequency,sz_mean_importance_share,ctrl_selection_frequency,ctrl_mean_importance_share,selection_frequency_difference,importance_share_difference
lh_middletemporal -- rh_parstriangularis,0.03333333333333333,0.003964610511571868,0.010666666666666666,0.002727744792515383,0.02266666666666667,0.0012368657190564847
lh_insula -- rh_transversetemporal,0.03333333333333333,0.00538574659843736,0.010666666666666666,0.002653166963454809,0.02266666666666667,0.0027325796349825507
lh_postcentral -- rh_lateraloccipital,0.03333333333333333,0.003165776907036543,0.010666666666666666,0.0032420832688628974,0.02266666666666667,-7.630636182635441e-05
lh_inferiorparietal -- lh_superiorparietal,0.04666666666666667,0.0031257023469286804,0.024,0.0032544466668689024,0.02266666666666667,-0.00012874431994022197
lh_cuneus -- rh_medialorbitofrontal,0.03333333333333333,0.004191213263219177,0.010666666666666666,0.00261539161798236,0.02266666666666667,0.0015758216452368174
lh_superiorfrontal -- rh_rostralmiddlefrontal,0.03333333333333333,0.002371551867259152,0.010666666666666666,0.0025298349829129883,0.02266666666666667,-0.00015828311565383628
rh_entorhinal -- rh_precuneus,0.06,0.003515607806675161,0.037333333333333336,0.0033896592438233315,0.02266666666666666,0.00012594856285182967
lh_supramarginal -- rh_lingual,0.02666666666666667,0.00602051004957506,0.005333333333333333,0.0031940439150000945,0.021333333333333336,0.0028264661345749655
lh_supramarginal -- rh_cuneus,0.02666666666666667,0.0038137733838897584,0.005333333333333333,0.0026030154967288262,0.021333333333333336,0.0012107578871609322
lh_bankssts -- rh_parahippocampal,0.02666666666666667,0.0038332477824225045,0.005333333333333333,0.0036921972778277954,0.021333333333333336,0.0001410505045947091
lh_transversetemporal -- rh_parstriangularis,0.02666666666666667,0.008726006838648754,0.005333333333333333,0.0048202487258722365,0.021333333333333336,0.003905758112776518
lh_superiorparietal -- rh_supramarginal,0.02666666666666667,0.0037812684279880963,0.005333333333333333,0.002914916904600233,0.021333333333333336,0.0008663515233878634
lh_precentral -- rh_parsopercularis,0.02666666666666667,0.0030112493462042824,0.005333333333333333,0.0029125319459435035,0.021333333333333336,9.871740026077885e-05
lh_transversetemporal -- rh_rostralanteriorcingulate,0.02666666666666667,0.007658351641164331,0.005333333333333333,0.0023297370485643285,0.021333333333333336,0.005328614592600003
rh_parsopercularis -- rh_rostralanteriorcingulate,0.02666666666666667,0.0034591332467792378,0.005333333333333333,0.0030107686991882074,0.021333333333333336,0.0004483645475910304
rh_parsopercularis -- rh_posteriorcingulate,0.02666666666666667,0.00430848172732138,0.005333333333333333,0.0028567206150889807,0.021333333333333336,0.001451761112232399
lh_superiortemporal -- rh_insula,0.04,0.0031133243950473236,0.018666666666666668,0.0027674033120370974,0.021333333333333333,0.0003459210830102262
lh_superiorfrontal -- lh_supramarginal,0.04,0.002955343495764116,0.018666666666666668,0.003124501339068065,0.021333333333333333,-0.00016915784330394888
lh_medialorbitofrontal -- lh_pericalcarine,0.02,0.004995372555201539,0.0,0.0022766949115321415,0.02,0.0027186776436693974
rh_parahippocampal -- rh_transversetemporal,0.02,0.00514626946883737,0.0,0.0023951489829525207,0.02,0.0027511204858848494
lh_caudalanteriorcingulate -- lh_isthmuscingulate,0.04666666666666667,0.0035226416023551644,0.02666666666666667,0.0033194072574791234,0.02,0.00020323434487604097
lh_rostralanteriorcingulate -- rh_superiortemporal,0.02,0.005058952771770054,0.0,0.0017257204275470412,0.02,0.003333232344223013
lh_inferiorparietal -- lh_postcentral,0.04666666666666667,0.003379570383567563,0.02666666666666667,0.0032556456382215088,0.02,0.00012392474534605406
lh_middletemporal -- rh_precentral,0.02,0.00574911548327629,0.0,0.0021959232266032173,0.02,0.0035531922566730723
lh_isthmuscingulate -- lh_pericalcarine,0.04666666666666667,0.003425587230898713,0.02666666666666667,0.003010683273630154,0.02,0.000414903957268559
lh_inferiorparietal -- lh_superiortemporal,0.02,0.00513155654139382,0.0,0.0022499091376076063,0.02,0.002881647403786214
lh_superiortemporal -- rh_caudalanteriorcingulate,0.03333333333333333,0.0029340435400260945,0.013333333333333334,0.002615483789024363,0.019999999999999997,0.00031855975100173167
lh_superiortemporal -- rh_parahippocampal,0.03333333333333333,0.004469239232227527,0.013333333333333334,0.003129988330435474,0.019999999999999997,0.001339250901792053
lh_cuneus -- rh_entorhinal,0.03333333333333333,0.0036513844921310114,0.013333333333333334,0.0029701855528245337,0.019999999999999997,0.0006811989393064777
lh_isthmuscingulate -- lh_paracentral,0.03333333333333333,0.003188086927128009,0.013333333333333334,0.003089351087807947,0.019999999999999997,9.87358393200622e-05
lh_fusiform -- lh_medialorbitofrontal,0.05333333333333334,0.005766215195033201,0.034666666666666665,0.008579556592823605,0.01866666666666667,-0.0028133413977904035
rh_entorhinal -- rh_lateralorbitofrontal,0.02666666666666667,0.0051212772401377565,0.008,0.0025990806803782183,0.018666666666666668,0.002522196559759538
lh_lateralorbitofrontal -- rh_medialorbitofrontal,0.02666666666666667,0.0038350244043279915,0.008,0.0029901030130262967,0.018666666666666668,0.0008449213913016948
lh_precentral -- lh_rostralmiddlefrontal,0.04,0.003203361746728108,0.021333333333333333,0.003212512477917456,0.018666666666666668,-9.150731189348088e-06
lh_paracentral -- rh_lateralorbitofrontal,0.02666666666666667,0.003982442083835105,0.008,0.0035165914387604437,0.018666666666666668,0.0004658506450746611
lh_middletemporal -- lh_supramarginal,0.02666666666666667,0.004559978292075818,0.008,0.0027141830088204632,0.018666666666666668,0.0018457952832553544
lh_posteriorcingulate -- rh_insula,0.02666666666666667,0.0036376771457252437,0.008,0.0025145138499074104,0.018666666666666668,0.0011231632958178333
