group,edge,topk_count,n_instances,selection_frequency,mean_importance_share,mean_rank,mean_original_weight
ALL_SZ,lh_caudalanteriorcingulate -- rh_posteriorcingulate,4,150,0.02666666666666667,0.0031700453656159917,179.74193548387098,0.9633642114618773
ALL_SZ,lh_caudalanteriorcingulate -- rh_precentral,0,150,0.0,0.0019454191764685946,277.0,-0.8832945823669434
ALL_SZ,lh_caudalanteriorcingulate -- rh_rostralanteriorcingulate,0,150,0.0,0.002860825275640093,285.6666666666667,0.9402803222338358
ALL_SZ,lh_caudalanteriorcingulate -- rh_rostralmiddlefrontal,0,150,0.0,0.0019287220276278574,252.41666666666666,-0.9140833665927252
ALL_SZ,lh_caudalanteriorcingulate -- rh_superiorfrontal,1,150,0.006666666666666667,0.00256019347637265,205.6,-0.9519752770662308
ALL_SZ,lh_caudalanteriorcingulate -- rh_superiorparietal,1,150,0.006666666666666667,0.0036980664718200278,269.75,-0.9131692200899123
ALL_SZ,lh_caudalanteriorcingulate -- rh_superiortemporal,1,150,0.006666666666666667,0.0020910516439013216,227.6969696969697,-0.9249910351001855
ALL_SZ,lh_caudalanteriorcingulate -- rh_supramarginal,1,150,0.006666666666666667,0.002822019373988477,180.25,-0.8469073735177517
ALL_SZ,lh_caudalanteriorcingulate -- rh_temporalpole,0,150,0.0,0.0011512424489558929,603.0,-0.8153286576271057
ALL_SZ,lh_caudalanteriorcingulate -- rh_transversetemporal,0,150,0.0,0.0013903272695937427,495.0,0.8855764865875244
ALL_SZ,lh_caudalmiddlefrontal -- lh_entorhinal,0,150,0.0,0.003913437995692469,257.0,-0.9796870350837708
ALL_SZ,lh_caudalmiddlefrontal -- lh_frontalpole,1,150,0.006666666666666667,0.0022288756703441005,219.6,-0.9392066955566406
ALL_SZ,lh_caudalmiddlefrontal -- lh_fusiform,0,150,0.0,0.0027062698406017274,241.83333333333334,0.6508503953615824
ALL_SZ,lh_caudalmiddlefrontal -- lh_inferiorparietal,0,150,0.0,0.0018555878492359085,257.4166666666667,-0.633838564157486
ALL_SZ,lh_caudalmiddlefrontal -- lh_inferiortemporal,1,150,0.006666666666666667,0.002982552061353466,229.47727272727272,-0.9470308355309747
ALL_SZ,lh_caudalmiddlefrontal -- lh_insula,2,150,0.013333333333333334,0.0033537188123539245,208.3090909090909,0.9586332765492526
ALL_SZ,lh_caudalmiddlefrontal -- lh_isthmuscingulate,6,150,0.04,0.0034355984361463827,184.63793103448276,0.9553418097824886
ALL_SZ,lh_caudalmiddlefrontal -- lh_lateraloccipital,0,150,0.0,0.0024082302050054184,222.91304347826087,-0.9645028373469478
ALL_SZ,lh_caudalmiddlefrontal -- lh_lateralorbitofrontal,0,150,0.0,0.00291533362425474,267.3,0.5911650121212005
ALL_SZ,lh_caudalmiddlefrontal -- lh_lingual,0,150,0.0,0.0013740702510848344,434.0,-0.8948161602020264
ALL_SZ,lh_caudalmiddlefrontal -- lh_medialorbitofrontal,0,150,0.0,0.0016338570233074457,251.5,-0.4455064833164215
ALL_SZ,lh_caudalmiddlefrontal -- lh_middletemporal,4,150,0.02666666666666667,0.0031585063661030205,202.8695652173913,-0.9444298199985338
ALL_SZ,lh_caudalmiddlefrontal -- lh_paracentral,0,150,0.0,0.002261381903144517,281.3103448275862,0.9431180666232931
ALL_SZ,lh_caudalmiddlefrontal -- lh_parahippocampal,1,150,0.006666666666666667,0.0023525645398668046,171.0,0.9404090387480599
ALL_SZ,lh_caudalmiddlefrontal -- lh_parsopercularis,0,150,0.0,0.0034970538965475202,165.89473684210526,0.9586612456723264
ALL_SZ,lh_caudalmiddlefrontal -- lh_parsorbitalis,0,150,0.0,0.001892206560076158,291.2857142857143,-0.9510373898914882
