group,roi,topk_count,n_instances,selection_frequency,mean_importance_share,mean_rank
ALL_CTRL,rh_rostralanteriorcingulate,60,375,0.16,0.014536348686212463,33.49066666666667
ALL_CTRL,rh_rostralmiddlefrontal,49,375,0.13066666666666665,0.014171220938189951,34.13066666666667
ALL_CTRL,rh_superiorfrontal,30,375,0.08,0.01354830236963902,37.464
ALL_CTRL,rh_superiorparietal,34,375,0.09066666666666667,0.01373291870800719,38.248
ALL_CTRL,rh_superiortemporal,40,375,0.10666666666666667,0.014063832398094746,36.048
ALL_CTRL,rh_supramarginal,69,375,0.184,0.01502677412563563,34.38933333333333
ALL_CTRL,rh_temporalpole,47,375,0.12533333333333332,0.014620723405250223,34.70933333333333
ALL_CTRL,rh_transversetemporal,108,375,0.288,0.017482200756853538,25.965333333333334
TP,lh_bankssts,7,78,0.08974358974358974,0.013579686951305528,34.5
TP,lh_caudalanteriorcingulate,5,78,0.0641025641025641,0.01195137583430274,43.07692307692308
TP,lh_caudalmiddlefrontal,5,78,0.0641025641025641,0.01238624211863773,37.0
TP,lh_cuneus,22,78,0.28205128205128205,0.017037995841113627,32.05128205128205
TP,lh_entorhinal,14,78,0.1794871794871795,0.015340323090512507,31.628205128205128
TP,lh_frontalpole,7,78,0.08974358974358974,0.012308920125796584,39.166666666666664
TP,lh_fusiform,26,78,0.3333333333333333,0.020008565270992536,20.923076923076923
TP,lh_inferiorparietal,10,78,0.1282051282051282,0.014382687431021623,34.42307692307692
TP,lh_inferiortemporal,15,78,0.19230769230769232,0.014565005841678946,39.217948717948715
TP,lh_insula,8,78,0.10256410256410256,0.013598008229706334,37.294871794871796
TP,lh_isthmuscingulate,12,78,0.15384615384615385,0.014019120472675138,36.62820512820513
TP,lh_lateraloccipital,12,78,0.15384615384615385,0.014437924301554066,36.11538461538461
TP,lh_lateralorbitofrontal,23,78,0.2948717948717949,0.0176546262590027,30.67948717948718
TP,lh_lingual,14,78,0.1794871794871795,0.014872369020288389,31.5
TP,lh_medialorbitofrontal,20,78,0.2564102564102564,0.017567394308478312,28.025641025641026
TP,lh_middletemporal,18,78,0.23076923076923078,0.0164741997314812,32.11538461538461
TP,lh_paracentral,8,78,0.10256410256410256,0.014874267365701264,31.76923076923077
TP,lh_parahippocampal,6,78,0.07692307692307693,0.012027768502959587,42.3974358974359
TP,lh_parsopercularis,14,78,0.1794871794871795,0.01632395679264779,31.28205128205128
TP,lh_parsorbitalis,10,78,0.1282051282051282,0.013958004295286219,38.03846153846154
TP,lh_parstriangularis,8,78,0.10256410256410256,0.013358066148982455,36.96153846153846
TP,lh_pericalcarine,15,78,0.19230769230769232,0.016877830005230274,33.217948717948715
TP,lh_postcentral,8,78,0.10256410256410256,0.012700318606833376,37.92307692307692
TP,lh_posteriorcingulate,6,78,0.07692307692307693,0.01271176077077413,40.666666666666664
TP,lh_precentral,5,78,0.0641025641025641,0.013780800582106666,34.03846153846154
TP,lh_precuneus,11,78,0.14102564102564102,0.015393958866568412,31.46153846153846
TP,lh_rostralanteriorcingulate,10,78,0.1282051282051282,0.013353798401475553,39.61538461538461
TP,lh_rostralmiddlefrontal,11,78,0.14102564102564102,0.015394673985156494,33.91025641025641
TP,lh_superiorfrontal,5,78,0.0641025641025641,0.012929025720397743,36.96153846153846
TP,lh_superiorparietal,6,78,0.07692307692307693,0.01364436536720377,35.333333333333336
TP,lh_superiortemporal,11,78,0.14102564102564102,0.013988174865249245,37.6025641025641
TP,lh_supramarginal,7,78,0.08974358974358974,0.014034374591397766,35.19230769230769
TP,lh_temporalpole,13,78,0.16666666666666666,0.014345620701366414,35.80769230769231
TP,lh_transversetemporal,21,78,0.2692307692307692,0.019441179865839747,24.935897435897434
TP,rh_bankssts,7,78,0.08974358974358974,0.012930641937268228,39.333333333333336
TP,rh_caudalanteriorcingulate,3,78,0.038461538461538464,0.01157377104701883,42.0
TP,rh_caudalmiddlefrontal,9,78,0.11538461538461539,0.01338336194086188,36.243589743589745
TP,rh_cuneus,8,78,0.10256410256410256,0.013663275928823543,34.19230769230769
TP,rh_entorhinal,13,78,0.16666666666666666,0.015790908052115752,32.12820512820513
TP,rh_frontalpole,6,78,0.07692307692307693,0.013334200462711018,37.56410256410256
TP,rh_fusiform,25,78,0.32051282051282054,0.02146701982848213,18.91025641025641
TP,rh_inferiorparietal,12,78,0.15384615384615385,0.015153062160283753,32.217948717948715
TP,rh_inferiortemporal,13,78,0.16666666666666666,0.014070556346678186,35.65384615384615
TP,rh_insula,16,78,0.20512820512820512,0.016564462840504435,31.96153846153846
TP,rh_isthmuscingulate,1,78,0.01282051282051282,0.01137045109055044,41.756410256410255
TP,rh_lateraloccipital,9,78,0.11538461538461539,0.014070603542287986,35.833333333333336
TP,rh_lateralorbitofrontal,13,78,0.16666666666666666,0.014043153671382695,38.38461538461539
TP,rh_lingual,13,78,0.16666666666666666,0.01571622823446561,32.12820512820513
TP,rh_medialorbitofrontal,18,78,0.23076923076923078,0.016554673679275714,30.0
TP,rh_middletemporal,10,78,0.1282051282051282,0.015478626142368758,32.06410256410256
TP,rh_paracentral,14,78,0.1794871794871795,0.01481975308034325,35.08974358974359
TP,rh_parahippocampal,4,78,0.05128205128205128,0.012380548436207048,39.51282051282051
TP,rh_parsopercularis,15,78,0.19230769230769232,0.01661845991054932,32.03846153846154
TP,rh_parsorbitalis,4,78,0.05128205128205128,0.012337948675088117,37.88461538461539
TP,rh_parstriangularis,8,78,0.10256410256410256,0.013237712509581572,37.56410256410256
TP,rh_pericalcarine,15,78,0.19230769230769232,0.015295369152680736,30.653846153846153
